No	|	English	|	Vietnamese
1		abandon		bỏ rơi
2		ability		khả năng
3		able		có khả năng
4		about		về
5		above		phía trên
6		abroad		ở nước ngoài
7		absence		sự vắng mặt
8		absolute		tuyệt đối
9		absolutely		tuyệt đối
10		absorb		hấp thụ
11		abuse		lạm dụng
12		academic		học thuật
13		accept		chấp nhận
14		acceptable		chấp nhận được
15		access		tiếp cận
16		accident		tai nạn
17		accommodate		cung cấp chỗ ở
18		accommodation		chỗ ở
19		accompany		đi theo
20		according		theo
21		account		tài khoản
22		accuracy		độ chính xác
23		accurate		chính xác
24		accuse		buộc tội
25		achieve		đạt được
26		achievement		thành tựu
27		acid		axit
28		acknowledge		thừa nhận
29		acquisition		sự đạt được
30		across		băng qua
31		act		hành động
32		action		hành động
33		active		hoạt động
34		activity		hoạt động
35		actor		diễn viên
36		actress		nữ diễn viên
37		actual		thực tế
38		actually		thực sự
39		ad		quảng cáo
40		adapt		thích nghi
41		add		thêm vào
42		addition		sự thêm vào
43		additional		bổ sung
44		address		địa chỉ
45		adequate		đủ
46		adjective		tính từ
47		adjust		điều chỉnh
48		adjustment		sự điều chỉnh
49		administer		quản lý
50		administration		quản lý
51		administrative		hành chính
52		administrator		người quản lý
53		admission		sự nhập học
54		admit		thừa nhận
55		adolescence		tuổi dậy thì
56		adolescent		thanh thiếu niên
57		adopt		áp dụng
58		adoption		sự áp dụng
59		adult		người lớn
60		advance		tiến bộ
61		advanced		tiên tiến
62		advantage		ưu điểm
63		adventure		cuộc phiêu lưu
64		advertising		quảng cáo
65		advice		lời khuyên
66		advise		khuyên
67		affair		việc
68		afford		đủ khả năng
69		afraid		sợ
70		african		người châu phi
71		after		sau
72		afternoon		buổi chiều
73		again		lại
74		against		phản đối
75		age		tuổi
76		agency		cơ quan
77		agent		đại lý
78		aggression		sự xâm lược
79		aggressive		xâm lược
80		ago		trước đây
81		agree		đồng ý
82		agreement		sự đồng ý
83		ahead		phía trước
84		aid		sự giúp đỡ
85		aids		kiết hợp hiv
86		aim		mục tiêu
87		air		không khí
88		aircraft		máy bay
89		airline		hãng hàng không
90		airport		sân bay
91		alarm		báo động
92		album		album
93		alcohol		ruợu
94		alive		sống
95		all		tất cả
96		alliance		liên minh
97		allocate		phân bổ
98		allow		cho phép
99		allowance		trợ cấp
100		almost		gần như
101		alone		một mình
102		along		theo
103		already		đã
104		also		cũng
105		alter		thay đổi
106		alternative		lựa chọn
107		although		mặc dù
108		always		luôn luôn
109		amateur		nghiệp dư
110		amazing		đáng kinh ngạc
